,network,protocol,seeding_budget,mi_value,diffusion_len,active_actors_prct,seed_actors_prct,gain,selection_metric
176,er5,OR,2,0.9,1,2.3,2.0,0.3061224489795917,k_shell
177,sf2,OR,2,0.9,1,3.5000000000000004,2.0,1.5306122448979598,k_shell
178,sf3,OR,2,0.9,2,4.7,2.0,2.7551020408163267,k_shell
179,sf5,OR,2,0.9,4,8.0,2.0,6.122448979591836,k_shell
180,aucs,OR,3,0.1,3,100.0,3.278688524590164,100.0,k_shell
181,ckm_physicians,OR,3,0.1,3,85.47717842323651,3.319502074688797,84.97854077253217,k_shell
182,eu_transportation,OR,3,0.1,4,100.0,3.117505995203837,100.0,k_shell
183,lazega,OR,3,0.1,2,100.0,4.225352112676056,100.0,k_shell
184,er2,OR,3,0.1,3,100.0,3.0,100.0,k_shell
185,er3,OR,3,0.1,3,100.0,3.0,100.0,k_shell
186,er5,OR,3,0.1,2,100.0,3.0,100.0,k_shell
187,sf2,OR,3,0.1,3,79.9,3.0,79.27835051546393,k_shell
188,sf3,OR,3,0.1,3,87.8,3.0,87.42268041237114,k_shell
189,sf5,OR,3,0.1,2,98.8,3.0,98.76288659793816,k_shell
190,aucs,OR,3,0.2,3,100.0,3.278688524590164,100.0,k_shell
191,ckm_physicians,OR,3,0.2,3,85.47717842323651,3.319502074688797,84.97854077253217,k_shell
192,eu_transportation,OR,3,0.2,5,100.0,3.117505995203837,100.0,k_shell
193,lazega,OR,3,0.2,3,100.0,4.225352112676056,100.0,k_shell
194,er2,OR,3,0.2,4,100.0,3.0,100.0,k_shell
195,er3,OR,3,0.2,4,100.0,3.0,100.0,k_shell
196,er5,OR,3,0.2,3,100.0,3.0,100.0,k_shell
197,sf2,OR,3,0.2,3,79.9,3.0,79.27835051546393,k_shell
198,sf3,OR,3,0.2,3,87.8,3.0,87.42268041237114,k_shell
199,sf5,OR,3,0.2,3,98.8,3.0,98.76288659793816,k_shell
200,aucs,OR,3,0.3,5,100.0,3.278688524590164,100.0,k_shell
201,ckm_physicians,OR,3,0.3,4,85.47717842323651,3.319502074688797,84.97854077253217,k_shell
202,eu_transportation,OR,3,0.3,6,100.0,3.117505995203837,100.0,k_shell
203,lazega,OR,3,0.3,1,8.450704225352112,4.225352112676056,4.411764705882353,k_shell
204,er2,OR,3,0.3,6,100.0,3.0,100.0,k_shell
205,er3,OR,3,0.3,4,100.0,3.0,100.0,k_shell
206,er5,OR,3,0.3,4,100.0,3.0,100.0,k_shell
207,sf2,OR,3,0.3,4,79.9,3.0,79.27835051546393,k_shell
208,sf3,OR,3,0.3,4,87.8,3.0,87.42268041237114,k_shell
209,sf5,OR,3,0.3,3,98.8,3.0,98.76288659793816,k_shell
210,aucs,OR,3,0.4,13,100.0,3.278688524590164,100.0,k_shell
